WorkerID,LastName,FirstName,Phone,Weekends,Evenings,BabySitting,YardWork,PetSitting,Clerical
1,Wagner,Ben,128-9153,1,1,0,0,1,0
2,Fontaine,Eldridge,128-7329,0,1,1,0,0,1
3,Oakes,Leroy,128-2093,0,1,0,1,1,0
4,Haney,Martin,128-1431,1,0,0,1,0,1
5,Gilbert,Sarah,123-0391,0,1,0,0,1,0
6,Claycomb,Alberta,126-0269,1,0,1,1,0,0
7,Sorrento,Marianne,121-4671,1,1,0,1,1,0
8,Delao,Danielle,129-1909,0,0,1,0,1,0
9,Martinez,Juan,122-5373,1,1,1,1,0,0
10,Duckett,Joanne,122-2633,1,0,1,0,1,0
11,Kane,Candy,121-6379,0,0,0,0,0,1
12,Grutz,Sammy,120-9223,0,1,0,0,0,1
13,Haight,Leonard,122-6593,0,1,1,1,1,0
14,Ayer,Nicole,129-7421,1,0,0,0,1,0
15,Bowles,Lucy,125-7547,0,1,0,1,0,0
16,Doodle,Emma,124-4059,0,0,1,0,0,1
17,Remington,Cindy,120-7343,1,1,0,1,1,0
18,Jeschke,Barb,122-8397,0,1,1,0,0,0
